Product,price
"APPLE iPhone 13 (Midnight, 128 GB)","₹58,499"
"APPLE iPhone 13 (Starlight, 128 GB)","₹58,499"
"APPLE iPhone 13 (Green, 128 GB)","₹58,499"
"APPLE iPhone 13 (Pink, 128 GB)","₹58,499"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹72,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹58,499"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹72,999"
"APPLE iPhone 14 (Midnight, 128 GB)","₹69,999"
"APPLE iPhone 14 (Purple, 128 GB)","₹69,999"
"APPLE iPhone 14 (Starlight, 128 GB)","₹69,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹72,999"
"APPLE iPhone 11 (White, 128 GB)","₹42,999"
"APPLE iPhone 11 (Black, 128 GB)","₹42,999"
"APPLE iPhone 14 (Blue, 128 GB)","₹69,999"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹58,499"
"APPLE iPhone 11 (White, 64 GB)","₹38,999"
"APPLE iPhone 11 (Black, 64 GB)","₹38,999"
"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹72,999"
"APPLE iPhone 12 (Green, 128 GB)","₹56,999"
"APPLE iPhone 14 Plus (Midnight, 256 GB)","₹82,999"
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹68,999"
"APPLE iPhone 13 (Pink, 256 GB)","₹68,499"
"APPLE iPhone 13 (Midnight, 256 GB)","₹68,499"
"APPLE iPhone 13 (Starlight, 256 GB)","₹68,499"
